division, categoria, equipo_local, equipo_visitante, fecha, fase, ronda
COPA FUTURAS ESTRELLAS,SUB-10,CONDORS,H2S LIONS,2026-03-21T11:20,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,KATIOS,AVALANCHA,2026-03-21T12:10,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,CONDORS,RINOS-ANDINOS,2026-03-21T13:00,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,KATIOS,AVS-H2S,2026-03-21T13:50,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,AVS-RABBITS BLANCO,RABBITS,2026-03-22T08:00,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,KATIOS,H2S LIONS,2026-03-22T08:50,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,RINOS-ANDINOS,KATIOS,2026-03-22T09:40,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,AVALANCHA,CONDORS,2026-03-22T10:30,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,CONDORS,RABBITS,2026-03-22T11:20,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,AVS-RABBITS BLANCO,KATIOS,2026-03-22T12:10,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,CONDORS,RINOS-ANDINOS,2026-03-22T13:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,KATIOS,AVALANCHA,2026-03-22T13:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,KATIOS,VRAPTORS,2026-03-22T14:40,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,AVS-H2S,CONDORS,2026-03-22T15:30,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,VRAPTOR,GRACO,2026-04-11T08:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,KATIOS,AVS-RABBITS,2026-04-11T08:50,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-8,CONDORS,H2S LIONS,2026-04-11T09:40,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,AVS BLANCO,GRACO,2026-04-11T10:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,AVS-RABBITS,H2S LIONS,2026-04-11T11:20,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-8,KATIOS,CONDORS,2026-04-11T12:10,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,KATIOS,CONDORS AZUL,2026-04-11T13:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,CONDORS NEGRO,GRACO,2026-04-11T13:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,RINOS-ANDINOS,AVS VINOTINTO,2026-04-11T14:40,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,H2S LIONS,KATIOS,2026-04-11T15:30,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-8,AVS-RABBITS,CONDORS,2026-04-11T16:20,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,GRACO,CONDORS AZUL,2026-04-12T08:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,KATIOS,AVS-RABBITS,2026-04-12T08:50,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-12,CONDORS,H2S LIONS,2026-04-12T09:40,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,GRACO,AVS VINOTINTO,2026-04-12T10:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,AVS-RABBITS,H2S LIONS,2026-04-12T11:20,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-12,KATIOS,CONDORS,2026-04-12T12:10,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,GRACO,VRAPTORS,2026-04-25T07:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,RABBITS,H2S LIONS,2026-04-25T07:50,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,VRAPTORS,AVS-H2S,2026-04-25T08:40,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,CONDORS,GRACO,2026-04-25T09:30,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,CONDORS,AVALANCHA BLANCO,2026-04-25T10:20,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,GRACO,AVS-H2S,2026-04-25T11:10,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,KATIOS,CONDORS,2026-04-26T07:00,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,VRAPTORS,GRACO,2026-04-26T07:50,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,RABBITS,KATIOS,2026-04-26T08:30,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,CONDORS,AVALANCHA,2026-04-26T09:20,REGULAR,3
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,KATIOS,RINOS-ANDINOS,2026-04-26T10:10,REGULAR,3
